"name","gemeinde","link"
"EW Aadorf","Aadorf","https://www.ewaadorf.ch/xml_3/internet/de/intro.cfm"
"EWA Energie Wasser Aarberg AG","Aarberg","http://www.ewaarberg.ch"
"tba energie ag","Aarburg","https://www.tba-energie.ch/"
"Gemeindebetriebe Aarwangen Elektrizitätsversorgung","Aarwangen","https://www.aarwangen.ch"
"Elektra - Genossenschaft Abtwil","Abtwil","https://www.elektra-abtwil.ch"
"Licht- & Wasserwerk Adelboden AG","Adelboden","https://www.lwa.ch/"
"Energieversorgung Aegerten EVA","Aegerten","www.aegerten.ch"
"Technische Werke der Gemeinde Affeltrangen","Affeltrangen","https://www.affeltrangen.ch/entsorgung-versorgung/versorgung/strom.html/56"
"Azienda Elettrica Comunale Airolo","Airolo","https://www.comuneairolo.ch/azienda-elettrica/azienda.php"
"Elektrizitätsversorgung Altendorf AG","Altendorf","https://www.evaltendorf.ch"
"Politische Gemeinde Altnau","Altnau","https://www.altnau.ch/gemeindeverwaltung/versorgung/stromversorgung"
"Stadt Altstätten","Altstätten","https://www.altstaetten.ch/de/politikuverwaltung/verwaltung/aemter/?amt_id=8294"
"Werkbetrieb EW der Politischen Gemeinde Amlikon-Bissegg","Amlikon-Bissegg","https://www.amlikon-bissegg.ch/verwaltung/verwaltung/dienstleistungen.html/23/service/416/l/de"
"Technische Betriebe Amriswil","Amriswil","https://www.rea.swiss/"
"Elektrizitätswerk Andelfingen","Andelfingen","https://www.andelfingen.ch/de/verwaltung/ewandelfingen/"
"Elektra Andwil","Andwil (SG)","https://www.andwil.ch"
"Arbon Energie AG","Arbon","https://www.arbonenergie.ch"
"Elektra Arch","Arch","https://www.arch-be.ch/de/gemeinde/budget-und-rechnung/elektrizitaet.php"
"Elektrizitäts - Genossenschaft Aristau","Aristau","https://www.elektra-aristau.ch"
"Elektra Arni","Arni (BE)","https://www.egai.ch"
"Arosa Energie","Arosa","https://www.arosaenergie.ch"
"Gemeindewerke Arth","Arth","https://www.gw-arth.ch/"
"Azienda Elettrica Comunale del Borgo di Ascona","Ascona","https://www.ascona.ch"
"Elektrizitätsversorgung Au / Heerbrugg","Au (SG)","https://www.au.ch"
"Elektra Augst","Augst","https://www.baselland.ch/politik-und-behorden/gemeinden/augst"
"Elektra Auw","Auw","https://www.elektra-auw.ch/"
"Services Industriels de Bagnes","Bagnes","https://www.altis.swiss/"
"Politische Gemeinde Balgach","Balgach","https://www.balgach.ch"
"Elektrizitätsverwaltung Bargen","Bargen (BE)","https://www.bargen-be.ch/gemeindebetriebe/elektro/"
"Elektrizitätswerk der Gemeinde Basadingen-Schlattingen","Basadingen-Schlattingen","https://www.basadingen-schlattingen.ch/verwaltung/werke/stromversorgung.html/167"
"Gemeindewerk Beckenried","Beckenried","https://www.gemeindewerk-beckenried.ch/de/"
"Technische Betriebe Beinwil am See","Beinwil am See","https://www.beinwilamsee.ch/verwaltung/versorgung.html/213"
"Einwohnergemeinde Bellmund","Bellmund","https://www.bellmund.ch/de/verwaltung"
"Services industriels de Belmont","Belmont-sur-Lausanne","https://www.romande-energie.ch/images/files/particuliers/maison-et-energie/Production_electricite"
"Energie Belp AG","Belp","https://www.energie-belp.ch/"
"Elektrizitätsversorgung Benken SG","Benken (SG)","https://www.benken.ch/de/toolbar3/elektrizitaetsversorgung/araphotovoltaikanlage/"
"Elektrizitätsversorgung Benken","Benken (ZH)","www.benken-zh.ch"
"Technische Gemeindebetriebe Berg","Berg (TG)","https://www.berg-tg.ch"
"Elektrizitätswerk der Gemeinde Bergün","Bergün Filisur","https://www.berguenfilisur.ch"
"Elektrizitäts - Versorgung Berikon","Berikon","https://www.berikon.ch/elektrizitaetsversorgung"
"Elektrizitätswerk der Gemeinde Berlingen","Berlingen","http://www.berlingen.ch"
"Energie Wasser Bern ewb","Bern","https://www.ewb.ch/"
"Politische Gemeinde Berneck","Berneck","http://www.berneck.ch"
"Elektra Besenbüren","Besenbüren","https://www.besenbueren.ch/topics/portraet-wirtschaft/energieversorgung"
"Politische Gemeinde Bettwiesen","Bettwiesen","https://www.bettwiesen.ch"
"Elektra Bettwil","Bettwil","https://www.bettwil.ch/xml_1/internet/de/application/d18/f27.cfm"
"EV Energieversorgung Biberist","Biberist","http://www.ev-biberist.ch/"
"Genossenschaft Werk Bichelsee-Balterswil","Bichelsee-Balterswil","https://www.w-b-b.ch"
"Energie Service Biel / Bienne","Biel/Bienne","https://www.esb.ch"
"Einwohnergemeinde Biglen","Biglen","https://www.biglen.ch/artikel/1907/Verwaltung/Bauverwaltung/Elektrizit%C3%A4tsversorgung"
"Technische Betriebe Birmenstorf","Birmenstorf (AG)","http://www.birmenstorf.ch/verwaltung/elektrizitaetsversorgung/"
"Technische Werke der Gemeinde Birwinken","Birwinken","https://www.birwinken.ch"
"Energieversorgung Blumenstein AG","Blumenstein","https://www.netzulg.ch/evb"
"Elektra der Gemeinde Bottighofen","Bottighofen","https://www.bottighofen.ch/strom"
"Services Industriels de Boudry","Boudry","https://www.eli10.ch/"
"Commune de Bourg-St-Pierre","Bourg-Saint-Pierre","https://www.dransenergie.ch"
"Service électrique de Bovernier","Bovernier","https://www.altis.swiss/"
"Technisches Werk Elektrizität Braunau","Braunau","https://www.braunau.ch/verwaltung/weitere-abteilungen/technische-werke-elektrizitaet"
"Azienda Elettrica Bregaglia AEB","Bregaglia","https://comunedibregaglia.ch/uffici/azienda-elettrica"
"Einwohnergemeinde Brienz","Brienz (BE)","https://www.brienz.ch"
"Gemischte Gemeinde Brienzwiler","Brienzwiler","https://www.brienzwiler.ch/gemeinde/gemeindebetriebe/energieversorgung"
"Azienda Elettrica Comunale Brusio","Brusio","https://www.brusio.ch"
"Elektrizitätsversorgung Brügg","Brügg","https://www.evbruegg.ch"
"Elektrizitätsgenossenschaft Bubikon","Bubikon","http://www.eg-bubikon.ch/"
"Elektrizitäts- und Wasserwerk der Stadt Buchs","Buchs (SG)","http://www.ewbuchs.ch/"
"Azienda Elettrica Buseno","Buseno","https://www.energiadelmoesano.ch/tariffe.html"
"Elektrizitätswerk der Gemeinde Bussnang","Bussnang","https://www.bussnang.ch/index.php/gemeinde/werke"
"Elektra Böttstein","Böttstein","https://www.wuerenlingen.ch/verwaltung/elektrizitaetsversorgung/"
"Einwohnergemeinde Büetigen","Büetigen","https://www.bueetigen.ch/"
"Energieversorgung Büren AG","Büren an der Aare","https://www.ev-bueren.ch"
"Elektrizitätswerk Bürglen AG","Bürglen (TG)","http://www.buerglen-tg.ch/xml_1/internet/de/application/d137/f143.cfm"
"Elektrizitäts-Versorgung Büttikon","Büttikon","https://www.buettikon.ch/umwelt/elektra-buettikon"
