Kategorie,Keyword1,Keyword2,Keyword3,"Bemerkung / Links",,,https://play.workadventu.re/
"Energieplanung / Plan climat","Monitoring des mesures",,,,,,
,Energierichtplan,"Plan directeur de l'énergie",,,,,
,"Energy master plan",,,,,,
,Energiestrategie,"Stratégie énergétique",,,,,
,Energiekonzept,,,,,,
,Klimastrategie,"Plan climat",,,,,
,"Klima- und Energiestrategie","plan énergie et climat",,,,,
,"Bezeichnung Dokument",,,,,,
,Energieplan,"plan énergie",,,,,
,Energieplanung,"planification énergétique territoriale",,,,,
,Stromsparbonus,,,,,,
,"Objectif zero émission",,,,,,
,Raumplanung,"Aménagement du territoire",,,,,
,Energieberatung,,,,,,
,"Gebäude und Energie",,,,,,
,Netto-Null,,,,,,
,Treibhausgasemissionen,,,,,,
,eco-bonus,,,,,,
,"Stratégie climatique",,,,,,
,Mobilité,,,,,,
,Energiebilanz,,,,,,
,"Scope 1 / 2 / 3",,,,,,
,Energiemonitoring,,,,,,
,"energetische Sanierung",,,,,,
,Energieunabhängigkeit,"indépendance énergétique",,,,,
,Massnahmen,,,,,,
,Klimaziele,,,,,,
,Energiesuffizienz,,,,,,
,Energiesouveränität,,,,,,
,Energiebedarf,,,,,,
,"Energetischen Renovierung","rénovation énergétique",,,,,
,"Bilan carobone",,,,,,
,Klimaabkommen,,,,,,
,"Energiestrategie 2050",,,,,,
"Indicatoren / KPIs","Anteil erneuerbaren Energien",,,,,,
,"Anteil Gas und Ölheizungen",,,,,,
,"Anteil Elektrofahrzeuge",,,,,,
,"Anteil Fernwärme",,,,,,
,"Power to X / Wasserstoffkapazität",,,,,,
,"Anteil near-zero energy buildings / renovationsgrad",,,,,,
,"CO2 emissionen pro Kopf",,,,,,
Fonds,"Subventionierung Massnahmen",,,,,,
,"Finanzierungsbeiträge/Fonds de soutien",,,,,,
Förderbeiträge/Subventions,Zahlen,,,,,,
,Gebühren,,,,,,
,"Programme bâtiment",Rénovation,,,,,
,"einmalig / laufend",,,,,,
,Sanierungsbeiträge,,,,,,
Energieberatung,Impulsberatung,,,,,,
,Energieberatung,,,,,,
Technologie,Energieeffizienz,,,,,,
,"graue Emissionen",,,,,,
,Mobilität,Elektromobilät,,,,,
,,E-Mobilität,"Ladeinfrastruktur - private",,,,
,,,"Ladeinfrastruktur öffentlich",,,,
,,"elektrische Fahrzeuge",,,,,
,,"Kohlenstofffreie Verkehrsträger","modes de déplacement décarbonés",,,,
,Strom,Fassadensolar,,,,,
,,Stromeffizienz,,,,,
,,"Photovoltaik / Photovoltaïque",,,,,
,,"Schulung von Fachleuten",,,,,
,Wärme,Holzheizung," Chauffage à bois",,,,
,,Pelletheizung,"Chauffage à pelet",,,,
,,Wärmepumpen,"Pompe à chaleur",,,,
,,Solarthermie,,,,,
,,Fernkälte,,,,,
,,Solarwärme,,,,,
,,Wärmenetze,"Réseaux thermiques",,,,
,,Geothermie,"Chauffage à distance","Webseiten von Energieversorgungsunternehmen: welche Gemeinden sind daran angeschlossen - welcher Einfluss hat das EVU auf die Policy der Gemeinden?",,,
,,"Fernwärme  / Chauffage à distance",Ausbau,,,,
,,,Existierend,,,,
,"Wasserstoff / Hydrogène",,,,,,
,Biomasse,,,,,,
,"Smart Grid",,,,,,
Labels,"Energiestadt / cité de l'énergie",https://www.energiestadt.ch/,,https://opendata.swiss/de/dataset/energiestadte,,,
,2000-Watt-Areal,https://www.2000watt.swiss/,,"https://data.geo.admin.ch/ch.bfe.energiestaedte-2000watt-areale/csv/2056/ch.bfe.energiestaedte-2000watt-areale.zip ",,,
,2000-Watt-Gesellschaft,,,,,,
,"Société à 2000 W sans nucléaire",,,,,,
,"Geschützte Gebäude / Bâtiments protégés",,,,,,
"Regulatorische Vorgaben","Baugesuche mit Vorschriften für erneuerbare Energieträger / Demande de permis de construire soumis à des normes relatives aux énergies renouvelables",,,,,,
,"Bebauuungspläne / Plan d'aménagement",,,,,,
,"Lokale erneuerbare energie / ressources renouvelables locales",,,,,,
,"Consommation sobriété",,,,,,
